id,company_name,location,country,website,contact_emails,contact_role,description,employee_estimate,source_platform,source_job
374,Punchcard Systems,"Edmonton, Alberta, Canada",Canada,https://gopunchcard.com,,product / marketing,Edmonton software product company hiring marketing principal roles.,11-50,LinkedIn,Marketing Principal
375,Purelend Technologies Inc.,"Calgary, Alberta, Canada",Canada,https://www.purelend.ai,,founders / engineering,"The mortgage industry has a problem. The most expensive, slowest, and most painful part of the mortgage process, docum...",2-10,LinkedIn,Software Engineer
376,Ribbon AI,"Toronto, Ontario, Canada",Canada,https://www.ribbon.ai,,,AI recruitment platform hiring full-stack engineers.,11-50,LinkedIn,Full-Stack Engineer
377,Ritual,"Toronto, Ontario, Canada",Canada,https://ritual.co,,,Canadian workplace food ordering software.,11-50,LinkedIn,Software Engineer
378,Rubikloud,"Toronto, Ontario, Canada",Canada,https://rubikloud.com,,,Canadian retail AI software company.,11-50,LinkedIn,Software Engineer
379,Software Secured,"Ottawa, Ontario, Canada",Canada,https://www.softwaresecured.com/,,agency leadership / hiring,Providing the quality of the biggest names in security wit...,11-50,LinkedIn,Penetration Tester
380,Solidy | Software Development Company,"S 1/2 Tsimpsean 2, British Columbia, Canada",Canada,https://solidy.am/,,engineering / studio lead,Mobile app studio or product company hiring mobile engineers.,11-50,LinkedIn,Android Developer
381,SOS Media Corp,"Edmonton, Alberta, Canada",Canada,https://sosmediacorp.com,,agency lead,Edmonton full-service digital marketing and web design agency hiring PPC & social ads managers.,2-10,LinkedIn,PPC & Social Media Ads Manager
382,Sundayy,"Ottawa, Ontario, Canada",Canada,https://sundayy.com,,agency leadership / hiring,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,"Software Developer, Intermediate"
383,symplistic.ai,"Toronto, Ontario, Canada",Canada,https://symplistic.ai,,founders / engineering,We create AI agents that solve real business problems. We bring your ideas to life through consulting. We co-create the future in our A...,11-50,LinkedIn,"AI Software Developer, Toronto"
384,TBL Digital,"Edmonton, Alberta, Canada",Canada,https://tbldigital.ca,,agency lead,Edmonton digital content/agency team hiring food photographer & videographer talent.,2-10,LinkedIn,Food Photographer & Videographer
385,Technucom,"Montréal, Quebec, Canada",Canada,,,,Canadian web/software firm posting ecommerce web developer roles.,11-50,Indeed,Web Developer Ecommerce
386,Tempo,"Toronto, ON, Canada",Canada,https://www.tempo.new,,engineering hiring,"Visual Editor for React, powered by AI Tags: Artificial Intelligence, Developer Tools, B2B, Design Tools, AI",1-10,LinkedIn,Founding Engineer – Backend
387,Terminal,"Toronto, Ontario, Canada",Canada,https://www.withterminal.com,,,YC telematics universal API startup hiring senior engineers.,11-50,LinkedIn,Senior Software Engineer – Product & Integrations
388,Thrive Health,"Vancouver, British Columbia, Canada",Canada,https://www.thrive.health,,engineering / founders,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Senior Software Developer
389,Virtual Hallway,"Halifax, Nova Scotia, Canada",Canada,https://www.virtualhallway.ca,,founders / engineering,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Junior Software Engineer
390,Web Ascend Digital,"Dawn-Euphemia, Ontario, Canada",Canada,https://webascend.ca,,engineering / agency lead,Shopify / ecommerce software or agency team hiring for storefront and commerce engineering.,2-10,LinkedIn,Shopify Website Developer
391,Yotta Labs,Canada,Canada,https://yottalabs.ai,,founders / engineering,Yotta Labs is at the forefront of building the next generation multi-silicon AI cloud and runtime p...,2-10,LinkedIn,Research Engineer - AI Systems
392,YZi Labs,Canada,Canada,https://www.yzilabs.com/,,founders / engineering,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Artificial Intelligence Engineer
393,Zaber Technologies,"Vancouver, British Columbia, Canada",Canada,https://www.zaber.com/careers?linkid=li,,founders / engineering,Software company / tech team hiring developers (sourced via LinkedIn Jobs).,51-100,LinkedIn,Software Developer (IT)
394,Annonymous.ai,"Accra, Greater Accra Region, Ghana",Ghana,,,engineering / founders,Software company / tech team hiring developers (sourced via LinkedIn Jobs).,11-50,LinkedIn,Senior Product Security Engineer
395,Bsystems Limited,"Accra, Ghana",Ghana,https://bsystems.com,,,Ghana custom software / systems company.,11-50,LinkedIn,Software Developer
396,Crescita Solutions,"Accra, Ghana",Ghana,https://crescitasolutions.com,,,Pan-African digital agency (Accra/Lagos) hiring MERN fullstack developers.,11-50,Indeed,Fullstack Developer (MERN Stack)
397,DevWorld Tech Academy,"Accra, Ghana",Ghana,,,,Accra tech services startup hiring founding fullstack web developers.,1-10,LinkedIn,Full-Stack Web Developer
398,DreamOval,"Accra, Ghana",Ghana,https://dreamoval.com,,,Ghana software development company.,11-50,LinkedIn,Software Developer
399,ExpressPay Ghana,"Accra, Ghana",Ghana,https://expresspaygh.com,,,Ghana payments gateway/software company.,11-50,Indeed,Software Developer
400,iSmart International,"Accra, Ghana",Ghana,,,,Ghana fintech/digital solutions firm hiring fullstack developers.,11-50,LinkedIn,Full Stack Developer
401,MeQasa,"Accra, Ghana",Ghana,https://meqasa.com,,,Ghana proptech marketplace hiring developers.,11-50,Indeed,Software Developer
402,Nsano,"Accra, Ghana",Ghana,https://nsano.com,,,Ghana fintech API/payments infrastructure.,11-50,LinkedIn,Software Engineer
403,Paps,"Accra, Ghana",Ghana,https://paps.delivery,,,Ghana logistics tech startup hiring engineers.,11-50,Indeed,Software Engineer
404,Payswitch,"Accra, Ghana",Ghana,https://payswitch.com.gh,,,Ghana payments switching/software company.,11-50,LinkedIn,Software Engineer
405,Rancard,"Accra, Ghana",Ghana,https://rancard.com,,,Ghana telecom/software solutions company.,11-50,Indeed,Software Engineer
406,SMSGH / Nalo Tech,"Accra, Ghana",Ghana,https://nalo.com,,,Ghana CPaaS/messaging software.,11-50,Indeed,Software Developer
407,SoftTribe,"Accra, Ghana",Ghana,https://softtribe.com,,,Ghana software products/services company.,11-50,LinkedIn,Software Developer
408,Turntabl,"Accra, Ghana",Ghana,https://turntabl.io,,,Ghana software engineering apprenticeship/product delivery.,11-50,LinkedIn,Software Engineer
409,3kits,"Greater Hyderabad Area, India",India,https://www.3kits.com,,engineering / agency lead,Hyderabad digital product/agency team hiring front-end UI developers and graphic leads.,11-50,LinkedIn,Front-End Developer - UI
410,AdLiven,"Malkajgiri, Telangana, India",India,,,agency lead,Hyderabad-area creative/digital agency hiring creative coordinators.,2-10,LinkedIn,Creative Coordinator
411,Camarin AI,"Noida, Uttar Pradesh, India",India,,,founders / engineering,Digital agency hiring web/software developers.,2-10,LinkedIn,"Founding engineer, Full stack (AI)"
412,ClearTax,"Bengaluru, Karnataka, India",India,https://cleartax.in,,,Indian tax/compliance software platform.,51-100,Indeed,Software Engineer
413,Clinkerbell,"Hyderabad, Telangana, India",India,https://www.clinkerbell.com,,agency lead,Hyderabad digital agency hiring content writers and video editors.,2-10,Indeed,Content Writer: Intern / Full Time
414,CodeRound AI,India,India,https://www.coderound.ai,,engineering / founders,Early-stage software startup hiring engineers (LinkedIn Jobs).,11-50,LinkedIn,Principal Engineer (Up to 65LPA)
415,Contis Technologies Pvt Ltd,"Maharashtra, India",India,,,engineering / founders,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Senior Software Engineer
416,credfix.app,"Bengaluru, Karnataka, India",India,https://www.credfix.app,,engineering / founders,Because Every Financial Setback Deserves a Comeback,2-10,LinkedIn,Senior Software Engineer
417,CultNerds,"Hyderabad, Telangana, India",India,https://cultnerds.io,,agency lead,Hyderabad digital marketing and IT solutions agency hiring SEO and creative copy roles.,11-50,LinkedIn,SEO Executive
418,Cutshort,"Bengaluru, Karnataka, India",India,https://cutshort.io,,,Indian hiring platform/product engineering.,11-50,LinkedIn,Software Engineer
419,Datamatics Technologies,"Bengaluru, Karnataka, India",India,https://www.datamaticstechnologies.com/,,engineering / founders,Mobile app studio or product company hiring mobile engineers.,51-100,LinkedIn,Mobile App Developer
420,Eeka AI,"Bengaluru, Karnataka, India",India,,,,Early-stage AI software startup hiring engineers via LinkedIn Jobs.,1-10,LinkedIn,Software Engineer
421,Efficieno AI,"Pune, Maharashtra, India",India,https://efficieno.ai,,,Agentic-AI engineering company hiring full-stack/K8s engineers.,11-50,LinkedIn,"Software Engineer — Python, Node/TypeScript, React & Kubernetes"
422,Filesie - The Digital Agency,"Madhapur, Hyderabad, Telangana, India",India,https://filesie.com,,agency lead,Hyderabad digital agency hiring video editors for client creative work.,2-10,Indeed,Video Editor
423,Fyno Digital Marketing,"Malkajgiri, Telangana, India",India,https://fynodigital.com,,agency lead,Hyderabad-area digital marketing agency hiring video editor and graphic designer interns.,2-10,LinkedIn,Video Editor Intern
424,Galactix Solutions Pvt Ltd,"Hyderabad, Telangana, India",India,https://galactixsolutions.com,,engineering lead,Hyderabad web agency hiring WordPress developers with SEO expertise.,2-10,Indeed,WordPress Developer with SEO Expertise
425,GENY MARKETING LIMITED,"Hyderabad, Telangana, India",India,,,agency lead,Hyderabad digital agency hiring paid media analysts and performance marketing managers.,11-50,LinkedIn,Analyst – Paid Media
426,Helfie.AI,Greater Hyderabad Area,India,https://helfie.ai,,engineering / founders,Healthtech / digital health software company hiring engineers.,51-100,LinkedIn,Machine Learning Engineer
427,iBridge Digital,"Hyderabad, Telangana, India",India,https://ibridge.digital,,agency lead,Hyderabad tech-first digital marketing agency hiring digital marketing and design talent.,11-50,LinkedIn,Digital Marketing Executive
428,Imedic Healthcare,"Hyderabad, Telangana, India",India,https://www.imedichealthcare.com,,engineering / agency lead,WordPress / web development company or agency hiring CMS and custom web developers.,51-100,LinkedIn,WordPress / App Developer
429,Inertialabs Technologies,"Bengaluru, Karnataka, India",India,,,engineering / studio lead,Mobile app studio or product company hiring mobile engineers.,2-10,LinkedIn,Mobile Application Developer
430,Intent Farm - Performance Marketing Agency,"Bengaluru, Karnataka, India",India,https://intentfarm.com/,,engineering / agency lead,Shopify / ecommerce software or agency team hiring for storefront and commerce engineering.,11-50,LinkedIn,WordPress & Shopify Web Development Trainee
431,LandSeek AI,"Hyderabad, Telangana, India",India,,,product / founders,Hyderabad AI startup hiring content creators via LinkedIn Jobs.,2-10,LinkedIn,Content Creator
432,Leap Club Tech,"Gurugram, Haryana, India",India,https://leap.club,,,Community/product software startup hiring developers.,11-50,LinkedIn,Full Stack Developer
433,LimeChat,"Bengaluru, Karnataka, India",India,https://limechat.ai,,,Conversational commerce AI startup.,11-50,LinkedIn,Software Engineer
434,Mad Street Den,"Chennai, Tamil Nadu, India",India,https://www.madstreetden.com,,,Indian retail AI software company.,51-100,LinkedIn,Software Engineer
435,My DTC Guy,"Saroornagar, Telangana, India",India,,,agency lead,DTC/ecommerce agency hiring TikTok ads specialist interns in Hyderabad.,2-10,LinkedIn,TikTok Ads Specialist Intern
436,oracliumai,"HSR Layout, Bengaluru, India",India,https://oraclium.ai,,,Bengaluru AI product startup hiring backend/AI engineers.,1-20,Indeed,Backend Developer & Ai Engineer
437,Outmarket AI,India,India,https://www.outmarket.ai,,founders / engineering,"Outmarket AI empowers insurance agents and brokers to grow revenue, cut costs, and reduce risk. Outmarket goes ...",11-50,LinkedIn,Full Stack AI Engineer
438,PhotonX Technologies,"Hyderabad, Telangana, India",India,,,engineering / marketing,Hyderabad tech company hiring Instagram Reels content planner & creator roles.,2-10,LinkedIn,Instagram Reels Content Planner & Creator
439,rarefictionmedia,"Hyderabad, Telangana, India",India,https://rarefictionmedia.com,,agency lead,Creative-first Hyderabad digital agency hiring content creators and social executives.,2-10,Indeed,Content Creator / Influencer / Social Media Executive
440,REGRO MEDIA,India,India,https://www.Regromedia.com,,engineering / agency lead,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Performance Marketing Specialist
441,RevSoc Digital,"Hyderabad, Telangana, India",India,,,agency ops,Hyderabad digital firm posting accountant roles alongside agency operations.,2-10,LinkedIn,Accountant
442,Saturn,"Bengaluru, Karnataka, India",India,https://www.saturnfi.com,,,B2B fintech AI startup hiring Django backend engineers.,11-50,LinkedIn,Django Python Backend Engineer
443,Setu,"Bengaluru, Karnataka, India",India,https://setu.co,,,Indian open banking/API fintech.,11-50,LinkedIn,Software Engineer
